Year,Age Range,Epidemiological Week,Fever and Respiratory Symptoms
2008,5 and younger,1,453
2008,5 and younger,2,442
2008,5 and younger,3,552
2008,5 and younger,4,688
2008,5 and younger,5,649
2008,5 and younger,6,555
2008,5 and younger,7,564
2008,5 and younger,8,621
2008,5 and younger,9,567
2008,5 and younger,10,677
2008,5 and younger,11,634
2008,5 and younger,12,623
2008,5 and younger,13,537
2008,5 and younger,14,450
2008,5 and younger,15,494
2008,5 and younger,16,560
2008,5 and younger,17,609
2008,5 and younger,18,581
2008,5 and younger,19,617
2008,5 and younger,20,669
2008,5 and younger,21,563
2008,5 and younger,22,545
2008,5 and younger,23,566
2008,5 and younger,24,594
2008,5 and younger,25,728
2008,5 and younger,26,710
2008,5 and younger,27,466
2008,5 and younger,28,501
2008,5 and younger,29,383
2008,5 and younger,30,362
2008,5 and younger,31,260
2008,5 and younger,32,325
2008,5 and younger,33,263
2008,5 and younger,34,321
2008,5 and younger,35,258
2008,5 and younger,36,261
2008,5 and younger,37,292
2008,5 and younger,38,444
2008,5 and younger,39,439
2008,5 and younger,40,567
2008,5 and younger,41,517
2008,5 and younger,42,569
2008,5 and younger,43,458
2008,5 and younger,44,403
2008,5 and younger,45,472
2008,5 and younger,46,451
2008,5 and younger,47,465
2008,5 and younger,48,350
2008,5 and younger,49,460
2008,5 and younger,50,374
2008,5 and younger,51,420
2008,5 and younger,52,326
2009,5 and younger,1,415
2009,5 and younger,2,557
2009,5 and younger,3,578
2009,5 and younger,4,610
2009,5 and younger,5,614
2009,5 and younger,6,547
2009,5 and younger,7,685
2009,5 and younger,8,542
2009,5 and younger,9,538
2009,5 and younger,10,576
2009,5 and younger,11,657
2009,5 and younger,12,719
2009,5 and younger,13,726
2009,5 and younger,14,513
2009,5 and younger,15,507
2009,5 and younger,16,487
2009,5 and younger,17,402
2009,5 and younger,18,516
2009,5 and younger,19,550
2009,5 and younger,20,506
2009,5 and younger,21,514
2009,5 and younger,22,794
2009,5 and younger,23,756
2009,5 and younger,24,1050
2009,5 and younger,25,1132
2009,5 and younger,26,1161
2009,5 and younger,27,1017
2009,5 and younger,28,538
2009,5 and younger,29,346
2009,5 and younger,30,253
2009,5 and younger,31,293
2009,5 and younger,32,277
2009,5 and younger,33,283
2009,5 and younger,34,256
2009,5 and younger,35,280
2009,5 and younger,36,286
2009,5 and younger,37,433
2009,5 and younger,38,629
2009,5 and younger,39,840
2009,5 and younger,40,910
2009,5 and younger,41,1178
2009,5 and younger,42,1177
2009,5 and younger,43,1377
2009,5 and younger,44,1317
2009,5 and younger,45,1138
2009,5 and younger,46,1182
2009,5 and younger,47,1074
2009,5 and younger,48,885
2009,5 and younger,49,789
2009,5 and younger,50,698
2009,5 and younger,51,428
2009,5 and younger,52,531
2010,5 and younger,1,594
2010,5 and younger,2,548
2010,5 and younger,3,636
2010,5 and younger,4,578
2010,5 and younger,5,757
2010,5 and younger,6,784
2010,5 and younger,7,732
2010,5 and younger,8,711
2010,5 and younger,9,771
2010,5 and younger,10,882
2010,5 and younger,11,853
2010,5 and younger,12,850
2010,5 and younger,13,663
2010,5 and younger,14,705
2010,5 and younger,15,658
2010,5 and younger,16,536
2010,5 and younger,17,589
2010,5 and younger,18,596
2010,5 and younger,19,576
2010,5 and younger,20,497
2010,5 and younger,21,357
2010,5 and younger,22,428
2010,5 and younger,23,451
2010,5 and younger,24,499
2010,5 and younger,25,477
2010,5 and younger,26,436
2010,5 and younger,27,440
2010,5 and younger,28,344
2010,5 and younger,29,288
2010,5 and younger,30,322
2010,5 and younger,31,265
2010,5 and younger,32,332
2010,5 and younger,33,500
2010,5 and younger,34,550
2010,5 and younger,35,702
2010,5 and younger,36,903
2010,5 and younger,37,1139
2010,5 and younger,38,1115
2010,5 and younger,39,671
2010,5 and younger,40,644
2010,5 and younger,41,791
2010,5 and younger,42,755
2010,5 and younger,43,813
2010,5 and younger,44,964
2010,5 and younger,45,996
2010,5 and younger,46,872
2010,5 and younger,47,923
2010,5 and younger,48,812
2010,5 and younger,49,866
2010,5 and younger,50,817
2010,5 and younger,51,734
2010,5 and younger,52,690
